Wall time,Step,Value
1585103485,255064,0.029478088
1585103626,256097,0.029098367
1585103746,256963,0.028706739
1585103759,257063,0.029086249
1585103833,257596,0.028859748
1585103920,258229,0.029330574
1585104035,259062,0.029148856
1585104122,259695,0.028937176
1585104135,259795,0.028565582
1585104149,259895,0.029069489
1585104162,259995,0.029357836
1585104196,260228,0.028982658
1585104270,260761,0.02921561
1585104544,262760,0.028670225
1585104571,262960,0.029260037
1585104631,263393,0.029281415
1585104644,263493,0.028881906
1585104671,263693,0.029079575
1585104745,264226,0.028734935
1585104792,264559,0.029009223
1585104819,264759,0.029008895
1585104859,265059,0.028358391
1585104879,265192,0.028821666
1585104892,265292,0.028848382
1585105032,266325,0.029357918
1585105052,266458,0.02942881
1585105078,266658,0.028884305
1585105092,266758,0.028209761
1585105105,266858,0.028263103
1585105119,266958,0.028599774
1585105179,267391,0.02882703
1585105205,267591,0.028063718
1585105252,267924,0.028527601
1585105279,268124,0.028128052
1585105312,268357,0.028072789
1585105339,268557,0.027507113
1585105467,269490,0.028392296
1585105528,269923,0.027763359
1585105555,270123,0.028055616
1585105588,270356,0.028343191
1585105615,270556,0.028167816
1585105661,270889,0.027882991
1585105702,271189,0.027495479
1585105789,271822,0.028166136
1585105802,271922,0.028032981
1585105862,272355,0.028709667
1585105902,272655,0.027390836
1585105949,272988,0.027596932
1585105975,273188,0.027504532
1585106049,273721,0.027974874
1585106109,274154,0.026494965
1585106149,274454,0.027407328
1585106163,274554,0.027480641
1585106183,274687,0.026602764
1585106197,274787,0.026314504
1585106237,275087,0.027253183
1585106298,275520,0.026843704
1585106385,276153,0.025843486
1585106398,276253,0.026853792
1585106445,276586,0.026142811
1585106558,277419,0.026479671
1585106571,277519,0.026279662
1585106632,277952,0.025581274
1585106658,278152,0.025827726
1585106672,278252,0.026121153
1585106719,278585,0.026504871
1585106732,278685,0.02603196
1585106759,278885,0.025856018
1585106806,279218,0.02499257
1585106819,279318,0.025560291
1585106846,279518,0.02562727
1585106934,280151,0.025545942
1585106981,280484,0.026091672
1585107021,280784,0.025913604
1585107034,280884,0.025849525
1585107095,281317,0.025343953
1585107181,281950,0.024645828
1585107368,283316,0.02459171
1585107428,283749,0.023896331
1585107454,283949,0.024518818
1585107528,284482,0.024651375
1585107601,285015,0.024396215
1585107662,285448,0.02418833
1585107728,285948,0.023799023
1585107789,286381,0.023796326
1585107849,286814,0.023428429
1585107890,287114,0.024299433
1585108109,288713,0.0233538
1585108250,289746,0.023433566
1585108270,289879,0.023566917
1585108283,289979,0.023056956
1585108323,290279,0.023286089
1585108337,290379,0.022889461
1585108410,290912,0.023010504
1585108497,291545,0.022908635
1585108511,291645,0.023024585
1585108531,291778,0.022556614
1585108545,291878,0.022667265
1585108558,291978,0.022935385
1585108571,292078,0.022935048
1585108584,292178,0.023212153
1585108706,293044,0.022967419
1585109046,295443,0.022259425
1585109067,295576,0.022542074
1585109081,295676,0.022099204
1585109187,296409,0.022115519
1585109351,297575,0.02185721
1585109364,297675,0.022028416
1585109377,297775,0.021743987
1585109438,298208,0.022007057
1585109552,299041,0.021930296
1585109565,299141,0.021571483
1585109612,299474,0.021691421
1585109639,299674,0.021537146
1585109653,299774,0.021329582
1585109686,300007,0.02147327
1585109889,301473,0.021133892
1585109930,301773,0.021435516
